Rank,Title,Year,Predicted_Rating,Recommendation_Score,IMDb_Rating,Runtime_mins,Director,Runtime_Vs_Your_Avg,IMDb_Vs_Your_Avg,Predicted_Vs_Your_Avg,Good_Runtime_Match,Good_IMDb_Match,High_Confidence,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist
59,The Cameraman's Revenge,1912,7.421,0.575,7.7,12,Wladyslaw Starewicz,-94.201,0.331,-0.51,False,True,False,0,0,0,0
60,The Color of Pomegranates,1969,7.808,0.646,7.6,79,Sergei Parajanov,-27.201,0.231,-0.124,True,True,True,0,0,0,0
61,The Cuckoo,2002,8.045,0.636,7.7,99,Aleksandr Rogozhkin,-7.201,0.331,0.114,True,True,True,0,0,0,0
62,The Dawns Here Are Quiet,1972,8.187,0.675,8.1,188,Stanislav Rostotskiy,81.799,0.731,0.256,False,True,True,0,0,0,0
63,The Destiny of a Man,1959,8.083,0.642,7.9,103,Sergey Bondarchuk,-3.201,0.531,0.151,True,True,True,0,0,0,0
64,The Diamond Arm,1969,8.035,0.618,8.3,94,Leonid Gaidai,-12.201,0.931,0.104,True,True,True,0,0,0,0
65,The Garage,1980,8.158,0.648,8.0,96,Eldar Ryazanov,-10.201,0.631,0.227,True,True,True,0,0,0,0
66,The Girls,1962,7.909,0.601,7.8,98,Yuriy Chulyukin,-8.201,0.431,-0.022,True,True,True,0,0,0,0
67,The Idiot,2003,5.3,0.315,0.0,0,,-106.201,-7.369,-2.631,False,False,False,0,0,0,0
68,"The Irony of Fate, or Enjoy Your Bath!",1976,8.056,0.645,8.1,192,Eldar Ryazanov,85.799,0.731,0.125,False,True,True,0,0,0,0
69,The Island,2006,8.259,0.649,7.8,112,Pavel Lungin,5.799,0.431,0.327,True,True,True,0,0,0,0
70,The Italian,2005,8.143,0.637,7.5,90,Andrey Kravchuk,-16.201,0.131,0.212,True,True,True,0,0,0,0
71,The Meeting Place Cannot Be Changed,1979,5.32,0.316,0.0,0,,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
72,The Old Man and the Sea,1999,8.158,0.618,8.0,20,Aleksandr Petrov,-86.201,0.631,0.227,False,True,True,0,0,0,0
73,The Tale of Tales,1979,7.96,0.604,7.8,29,Yuri Norstein,-77.201,0.431,0.028,False,True,True,0,0,0,0
74,The Very Same Munchhausen,1980,8.079,0.65,8.3,142,Mark Zakharov,35.799,0.931,0.148,False,True,True,0,0,0,0
75,Twelve Chairs,1971,8.059,0.617,8.2,153,Leonid Gaidai,46.799,0.831,0.127,False,True,True,0,0,0,0
76,Unbelievable Adventures of Italians in Russia,1974,7.563,0.58,7.6,104,"Francesco Prosperi, Eldar Ryazanov",-2.201,0.231,-0.369,True,True,False,0,0,0,0
77,Unfinished Piece for the Player Piano,1977,8.143,0.641,7.7,103,Nikita Mikhalkov,-3.201,0.331,0.211,True,True,True,0,0,0,0
78,Viy,1967,7.691,0.609,7.2,77,"Konstantin Ershov, Georgiy Kropachyov, Aleksandr Ptushko",-29.201,-0.169,-0.241,True,True,True,0,0,0,0
79,War,2002,8.128,0.636,7.5,120,Aleksey Balabanov,13.799,0.131,0.196,True,True,True,0,0,0,0
80,War and Peace,1965,8.007,0.646,8.3,393,Sergey Bondarchuk,286.799,0.931,0.075,False,True,True,0,0,0,0
81,Watch Out for the Automobile,1966,7.847,0.602,8.0,94,Eldar Ryazanov,-12.201,0.631,-0.084,True,True,True,0,0,0,0
82,"Well, Just You Wait!",1969,7.63,0.58,7.4,3,Gennadiy Sokolskiy,-103.201,0.031,-0.301,False,True,False,0,0,0,0
83,What Men Talk About,2010,7.527,0.576,7.5,93,Dmitriy Dyachenko,-13.201,0.131,-0.405,True,True,False,0,0,0,0
84,White Sun of the Desert,1970,7.589,0.583,7.7,84,Vladimir Motyl,-22.201,0.331,-0.342,True,True,False,0,0,0,0
85,Winnie-the-Pooh,1969,8.07,0.617,8.2,11,Fyodor Khitruk,-95.201,0.831,0.138,False,True,True,0,0,0,0
86,Winnie-the-Pooh Pays a Visit,1971,8.07,0.617,8.2,10,Fyodor Khitruk,-96.201,0.831,0.138,False,True,True,0,0,0,0
87,Winnie-the-Pooh and a Busy Day,1972,8.056,0.617,8.2,21,"Fyodor Khitruk, Gennadiy Sokolskiy",-85.201,0.831,0.125,False,True,True,0,0,0,0
88,Ya shagayu po Moskve,1964,7.851,0.599,7.8,78,Georgiy Daneliya,-28.201,0.431,-0.08,True,True,False,0,0,0,0
